Publication_Author,Publication_Journal,Publication_Year,Publication_ID,Taxa,Phylum,Class,Order,Family,Genus,Species,Broad_Group,Observed_ED,Predicted_ED,Assignment_Level,Assigned_Lookup_Name,Absolute_Error,APE,n_raw_records
Abitia-Cardenas et al.,Fishery Bulletin,1997,Abitia-Cardenas et al. | Fishery Bulletin | 1997,Balistes polylepis,Chordata,Teleostei,Tetraodontiformes,Balistidae,Balistes,polylepis,Teleostei,6.19,5.62,Broad group,Teleostei,0.57,9.2084006462,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Ascidia callosa,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,callosa,Other invertebrates,0.432,3.0,Broad group,Other invertebrates,2.568,594.4444444444,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Astarte borealis,Mollusca,Bivalvia,Carditida,Astartidae,Astarte,borealis,Mollusca (non-cephalopods),0.948,2.14,Broad group,Mollusca (non-cephalopods),1.192,125.7383966245,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Astarte montagui,Mollusca,Bivalvia,Carditida,Astartidae,Astarte,montagui,Mollusca (non-cephalopods),0.514,2.14,Broad group,Mollusca (non-cephalopods),1.626,316.3424124514,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Balanus balanus,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,balanus,Crustacea,0.464,3.9,Broad group,Crustacea,3.436,740.5172413793,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Boltenia ovifera,Chordata,Ascidiacea,Pleurogona,Pyuridae,Boltenia,ovifera,Other invertebrates,0.75,3.0,Broad group,Other invertebrates,2.25,300.0,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Chlamys islandica,Mollusca,Bivalvia,Pectinida,Pectinidae,Chlamys,islandica,Mollusca (non-cephalopods),0.933,2.14,Broad group,Mollusca (non-cephalopods),1.207,129.3676312969,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Ciona intestinalis,Chordata,Ascidiacea,Enterogona,Cionidae,Ciona,intestinalis,Other invertebrates,0.162,3.0,Broad group,Other invertebrates,2.838,1751.8518518519,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Colus holbolli,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Colus,holbolli,Mollusca (non-cephalopods),2.71,2.14,Broad group,Mollusca (non-cephalopods),0.57,21.0332103321,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Colus islandicus,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Colus,islandicus,Mollusca (non-cephalopods),2.98,2.14,Broad group,Mollusca (non-cephalopods),0.84,28.1879194631,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Cylichna alba,Mollusca,Gastropoda,Cephalaspidea,Cylichnidae,Cylichna,alba,Mollusca (non-cephalopods),1.69,2.14,Broad group,Mollusca (non-cephalopods),0.45,26.6272189349,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Delectopecten greenlandicus,Mollusca,Bivalvia,Pectinida,Pectinidae,Delectopecten,greenlandicus,Mollusca (non-cephalopods),0.921,2.14,Broad group,Mollusca (non-cephalopods),1.219,132.3561346363,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Diastylis goodsiri,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,goodsiri,Crustacea,1.43,3.9,Broad group,Crustacea,2.47,172.7272727273,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Enipo gracilis,Annelida,Polychaeta,Phyllodocida,Polynoidae,Enipo,gracilis,Annelida,2.16,1.28,Broad group,Annelida,0.88,40.7407407407,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Eualus gaimardii,Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,gaimardii,Crustacea,2.34,3.9,Broad group,Crustacea,1.56,66.6666666667,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Harmothoe nodosa,Annelida,Polychaeta,Phyllodocida,Polynoidae,Harmothoe,nodosa,Annelida,2.86,1.28,Broad group,Annelida,1.58,55.2447552448,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Hemithiris psittacea,Brachiopoda,Rhynchonellata,Rhynchonellida,Hemithyrididae,Hemithiris,psittacea,Other invertebrates,0.246,3.0,Broad group,Other invertebrates,2.754,1119.512195122,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Hiatella arctica,Mollusca,Bivalvia,Solenida,Hiatellidae,Hiatella,arctica,Mollusca (non-cephalopods),0.971,2.14,Broad group,Mollusca (non-cephalopods),1.169,120.3913491246,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Kuekenthalis borealis,Chordata,Ascidiacea,Pleurogona,Styelidae,Kuekenthalis,borealis,Other invertebrates,0.554,3.0,Broad group,Other invertebrates,2.446,441.5162454874,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Margarites groenlandicus,Mollusca,Gastropoda,Trochida,Trochidae,Margarites,groenlandicus,Mollusca (non-cephalopods),3.05,2.14,Broad group,Mollusca (non-cephalopods),0.91,29.8360655738,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Margarites olivaceus,Mollusca,Gastropoda,Trochida,Trochidae,Margarites,olivaceus,Mollusca (non-cephalopods),2.28,2.14,Broad group,Mollusca (non-cephalopods),0.14,6.1403508772,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Margarites umbilicalis,Mollusca,Gastropoda,Trochida,Trochidae,Margarites,umbilicalis,Mollusca (non-cephalopods),2.89,2.14,Broad group,Mollusca (non-cephalopods),0.75,25.9515570934,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Musculus discors,Mollusca,Bivalvia,Mytilida,Mytilidae,Musculus,discors,Mollusca (non-cephalopods),1.92,2.14,Broad group,Mollusca (non-cephalopods),0.22,11.4583333333,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Musculus niger,Mollusca,Bivalvia,Mytilida,Mytilidae,Musculus,niger,Mollusca (non-cephalopods),1.51,2.14,Broad group,Mollusca (non-cephalopods),0.63,41.7218543046,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Mya truncata,Mollusca,Bivalvia,Myida,Myidae,Mya,truncata,Mollusca (non-cephalopods),1.26,2.14,Broad group,Mollusca (non-cephalopods),0.88,69.8412698413,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Mytilus edulis,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,edulis,Mollusca (non-cephalopods),1.02,2.14,Broad group,Mollusca (non-cephalopods),1.12,109.8039215686,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Natica clausa,Mollusca,Gastropoda,Littorinida,Naticidae,Natica,clausa,Mollusca (non-cephalopods),3.57,2.14,Broad group,Mollusca (non-cephalopods),1.43,40.056022409,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Neptunea despecta,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Neptunea,despecta,Mollusca (non-cephalopods),2.71,2.14,Broad group,Mollusca (non-cephalopods),0.57,21.0332103321,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Nicomache lumbricalis,Annelida,Polychaeta,,Maldanidae,Nicomache,lumbricalis,Annelida,0.712,1.28,Broad group,Annelida,0.568,79.7752808989,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Nuculana minuta,Mollusca,Bivalvia,Nuculanida,Nuculanidae,Nuculana,minuta,Mollusca (non-cephalopods),1.58,2.14,Broad group,Mollusca (non-cephalopods),0.56,35.4430379747,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Nuculana pernula,Mollusca,Bivalvia,Nuculanida,Nuculanidae,Nuculana,pernula,Mollusca (non-cephalopods),1.71,2.14,Broad group,Mollusca (non-cephalopods),0.43,25.1461988304,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Nymphon hirtipes,Arthropoda,Pycnogonida,Pantopoda,Nymphonidae,Nymphon,hirtipes,Other invertebrates,1.77,3.0,Broad group,Other invertebrates,1.23,69.4915254237,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Pista maculata,Annelida,Polychaeta,Terebellida,Terebellidae,Pista,maculata,Annelida,0.21,1.28,Broad group,Annelida,1.07,509.5238095238,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Rhizomolgula globularis,Chordata,Ascidiacea,Stolidobranchia,Molgulidae,Rhizomolgula,globularis,Other invertebrates,0.344,3.0,Broad group,Other invertebrates,2.656,772.0930232558,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Sabinea septemcarinata,Arthropoda,Malacostraca,Decapoda,Crangonidae,Sabinea,septemcarinata,Crustacea,3.14,3.9,Broad group,Crustacea,0.76,24.2038216561,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Saduria entomon,Arthropoda,Malacostraca,Isopoda,Chaetiliidae,Saduria,entomon,Crustacea,2.26,3.9,Broad group,Crustacea,1.64,72.5663716814,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Saduria sabini,Arthropoda,Malacostraca,Isopoda,Chaetiliidae,Saduria,sabini,Crustacea,2.28,3.9,Broad group,Crustacea,1.62,71.0526315789,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Scabrotrophon fabricii,Mollusca,Gastropoda,Neogastropoda,Muricidae,Scabrotrophon,fabricii,Mollusca (non-cephalopods),2.15,2.14,Broad group,Mollusca (non-cephalopods),0.01,0.4651162791,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Sclerocrangon boreas,Arthropoda,Malacostraca,Decapoda,Crangonidae,Sclerocrangon,boreas,Crustacea,3.63,3.9,Broad group,Crustacea,0.27,7.4380165289,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Serripes groenlandicus,Mollusca,Bivalvia,Cardiida,Cardiidae,Serripes,groenlandicus,Mollusca (non-cephalopods),0.734,1.57,Family,Cardiidae,0.836,113.8964577657,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Spirontocaris spinus,Arthropoda,Malacostraca,Decapoda,Thoridae,Spirontocaris,spinus,Crustacea,3.13,3.9,Broad group,Crustacea,0.77,24.6006389776,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Stegocephalus inflatus,Arthropoda,Malacostraca,Amphipoda,Stegocephalidae,Stegocephalus,inflatus,Crustacea,2.88,3.9,Broad group,Crustacea,1.02,35.4166666667,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Styela rustica,Chordata,Ascidiacea,Pleurogona,Styelidae,Styela,rustica,Other invertebrates,0.757,3.0,Broad group,Other invertebrates,2.243,296.3011889036,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Tachyrhynchus reticulatus,Mollusca,Gastropoda,Cerithiida,Turritellidae,Tachyrhynchus,reticulatus,Mollusca (non-cephalopods),1.35,2.14,Broad group,Mollusca (non-cephalopods),0.79,58.5185185185,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Tubularia regalis,Cnidaria,Hydrozoa,Anthoathecatae,Tubulariidae,Tubularia,regalis,Cnidaria,2.25,0.7,Broad group,Cnidaria,1.55,68.8888888889,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Velutina undata,Mollusca,Gastropoda,Cypraeida,Velutinidae,Velutina,undata,Mollusca (non-cephalopods),1.83,2.14,Broad group,Mollusca (non-cephalopods),0.31,16.9398907104,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Velutina velutina,Mollusca,Gastropoda,Cypraeida,Velutinidae,Velutina,velutina,Mollusca (non-cephalopods),1.75,2.14,Broad group,Mollusca (non-cephalopods),0.39,22.2857142857,1
Atkinson and Wacasey,Environment Canada Fisheries and Marine Service Biological Station 3,1976,Atkinson and Wacasey | Environment Canada Fisheries and Marine Service Biological Station 3 | 1976,Yoldiella intermedia,Mollusca,Bivalvia,Nuculanida,Yoldiidae,Yoldiella,intermedia,Mollusca (non-cephalopods),1.71,2.505,Family,Yoldiidae,0.795,46.4912280702,1
Bailey and Robison,Marine Biology,1986,Bailey and Robison | Marine Biology | 1986,Argyropelecus affinis,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Argyropelecus,affinis,Teleostei,3.82,3.5,Genus,Argyropelecus,0.32,8.3769633508,1
Bailey and Robison,Marine Biology,1986,Bailey and Robison | Marine Biology | 1986,Argyropelecus sladeni,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Argyropelecus,sladeni,Teleostei,4.01,3.5,Genus,Argyropelecus,0.51,12.7182044888,1
Bailey and Robison,Marine Biology,1986,Bailey and Robison | Marine Biology | 1986,Ceratoscopelus townsendi,Chordata,Teleostei,Myctophiformes,Myctophidae,Ceratoscopelus,townsendi,Teleostei,7.16,7.0,Family,Myctophidae,0.16,2.2346368715,1
Bailey and Robison,Marine Biology,1986,Bailey and Robison | Marine Biology | 1986,Cyclothone acclinidens,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Cyclothone,acclinidens,Teleostei,4.12,5.62,Broad group,Teleostei,1.5,36.4077669903,1
Bailey and Robison,Marine Biology,1986,Bailey and Robison | Marine Biology | 1986,Cyclothone signata,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Cyclothone,signata,Teleostei,2.88,5.62,Broad group,Teleostei,2.74,95.1388888889,1
Bailey and Robison,Marine Biology,1986,Bailey and Robison | Marine Biology | 1986,Cyema atrum,Chordata,Teleostei,Saccopharyngiformes,Cyematidae,Cyema,atrum,Teleostei,3.67,5.62,Broad group,Teleostei,1.95,53.1335149864,1
Bailey and Robison,Marine Biology,1986,Bailey and Robison | Marine Biology | 1986,Idiacanthus antrostomus,Chordata,Teleostei,Stomiiformes,Stomiidae,Idiacanthus,antrostomus,Teleostei,4.08,2.8,Family,Stomiidae,1.28,31.3725490196,1
Bailey and Robison,Marine Biology,1986,Bailey and Robison | Marine Biology | 1986,Lampanyctus regalis,Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,regalis,Teleostei,4.18,4.1,Genus,Lampanyctus,0.08,1.9138755981,1
Bailey and Robison,Marine Biology,1986,Bailey and Robison | Marine Biology | 1986,Lampanyctus ritteri,Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,ritteri,Teleostei,7.61,4.1,Genus,Lampanyctus,3.51,46.123521682,1
Bailey and Robison,Marine Biology,1986,Bailey and Robison | Marine Biology | 1986,Poromitra crassiceps,Chordata,Teleostei,Stephanoberyciformes,Melamphaidae,Poromitra,crassiceps,Teleostei,3.82,5.62,Broad group,Teleostei,1.8,47.1204188482,1
Bailey and Robison,Marine Biology,1986,Bailey and Robison | Marine Biology | 1986,Sternoptyx diaphana,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Sternoptyx,diaphana,Teleostei,2.73,3.85,Family,Sternoptychidae,1.12,41.0256410256,1
Ball et al.,Polar Biology,2007,Ball et al. | Polar Biology | 2007,Boreogadus saida,Chordata,Teleostei,Gadiformes,Gadidae,Boreogadus,saida,Teleostei,2.57,4.7,Family,Gadidae,2.13,82.8793774319,1
Ball et al.,Polar Biology,2007,Ball et al. | Polar Biology | 2007,Coregonus sardinella,Chordata,Teleostei,Salmoniformes,Salmonidae,Coregonus,sardinella,Teleostei,5.15,5.62,Broad group,Teleostei,0.47,9.1262135922,1
Ball et al.,Polar Biology,2007,Ball et al. | Polar Biology | 2007,Eleginus gracilis,Chordata,Teleostei,Gadiformes,Gadidae,Eleginus,gracilis,Teleostei,3.005,4.7,Family,Gadidae,1.695,56.4059900166,2
Ball et al.,Polar Biology,2007,Ball et al. | Polar Biology | 2007,Gasterosteus aculeatus,Chordata,Teleostei,Gasterosteiformes,Gasterosteidae,Gasterosteus,aculeatus,Teleostei,2.99,5.62,Broad group,Teleostei,2.63,87.9598662207,1
Ball et al.,Polar Biology,2007,Ball et al. | Polar Biology | 2007,Hypomesus olidus,Chordata,Teleostei,Osmeriformes,Osmeridae,Hypomesus,olidus,Teleostei,4.51,9.04,Family,Osmeridae,4.53,100.44345898,2
Ball et al.,Polar Biology,2007,Ball et al. | Polar Biology | 2007,Liopsetta glacialis,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Liopsetta,glacialis,Teleostei,3.505,5.6,Family,Pleuronectidae,2.095,59.7717546362,2
Ball et al.,Polar Biology,2007,Ball et al. | Polar Biology | 2007,Megalocottus platycephalus,Chordata,Teleostei,Scorpaeniformes,Cottidae,Megalocottus,platycephalus,Teleostei,2.97,4.35,Family,Cottidae,1.38,46.4646464646,2
Ball et al.,Polar Biology,2007,Ball et al. | Polar Biology | 2007,Occella dodecaedron,Chordata,Teleostei,Scorpaeniformes,Agonidae,Occella,dodecaedron,Teleostei,3.04,5.62,Broad group,Teleostei,2.58,84.8684210526,2
Ball et al.,Polar Biology,2007,Ball et al. | Polar Biology | 2007,Osmerus mordax,Chordata,Teleostei,Osmeriformes,Osmeridae,Osmerus,mordax,Teleostei,3.685,9.04,Family,Osmeridae,5.355,145.3188602442,2
Ball et al.,Polar Biology,2007,Ball et al. | Polar Biology | 2007,Platichthys stellatus,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Platichthys,stellatus,Teleostei,3.34,5.6,Family,Pleuronectidae,2.26,67.6646706587,1
Ball et al.,Polar Biology,2007,Ball et al. | Polar Biology | 2007,Pungitius pungitius,Chordata,Teleostei,Gasterosteiformes,Gasterosteidae,Pungitius,pungitius,Teleostei,4.68,5.62,Broad group,Teleostei,0.94,20.0854700855,1
Bando,Thesis--University of Alaska Fairbanks,2002,Bando | Thesis--University of Alaska Fairbanks | 2002,Enteroctopus dofleini,Mollusca,Cephalopoda,Octopoda,Octopodidae,Enteroctopus,dofleini,Cephalopoda,2.93,4.7,Family,Octopodidae,1.77,60.409556314,1
Bando,Thesis--University of Alaska Fairbanks,2002,Bando | Thesis--University of Alaska Fairbanks | 2002,Gadus chalcogrammus,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,chalcogrammus,Teleostei,4.6,4.7,Family,Gadidae,0.1,2.1739130435,1
Bando,Thesis--University of Alaska Fairbanks,2002,Bando | Thesis--University of Alaska Fairbanks | 2002,Gadus macrocephalus,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,macrocephalus,Teleostei,4.18,4.7,Family,Gadidae,0.52,12.4401913876,1
Bando,Thesis--University of Alaska Fairbanks,2002,Bando | Thesis--University of Alaska Fairbanks | 2002,Loligo opalescens,Mollusca,Cephalopoda,Teuthida,Loliginidae,Loligo,opalescens,Cephalopoda,4.6,4.7,Genus,Loligo,0.1,2.1739130435,1
Bando,Thesis--University of Alaska Fairbanks,2002,Bando | Thesis--University of Alaska Fairbanks | 2002,Microstomus pacificus,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Microstomus,pacificus,Teleostei,7.11,5.8,Genus,Microstomus,1.31,18.4247538678,1
Bando,Thesis--University of Alaska Fairbanks,2002,Bando | Thesis--University of Alaska Fairbanks | 2002,Oncorhynchus gorbuscha,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,Teleostei,8.37,5.62,Broad group,Teleostei,2.75,32.8554360812,1
Bando,Thesis--University of Alaska Fairbanks,2002,Bando | Thesis--University of Alaska Fairbanks | 2002,Paraplagusia bilineata,Chordata,Teleostei,Pleuronectiformes,Cynoglossidae,Paraplagusia,bilineata,Teleostei,4.18,5.62,Broad group,Teleostei,1.44,34.4497607656,1
Boldt,Dissertation--University of Alaska Fairbanks,2001,Boldt | Dissertation--University of Alaska Fairbanks | 2001,Oncorhynchus gorbuscha,Chordata,Teleostei,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,Teleostei,4.1,5.62,Broad group,Teleostei,1.52,37.0731707317,3
Bryan et al.,Marine Biology,1995,Bryan et al. | Marine Biology | 1995,Clione antarctica,Mollusca,Gastropoda,Pteropoda,Clionidae,Clione,antarctica,Mollusca (non-cephalopods),2.92,2.14,Broad group,Mollusca (non-cephalopods),0.78,26.7123287671,1
Bunce,ICES Journal of Marine Science,2001,Bunce | ICES Journal of Marine Science | 2001,Engraulis australis,Chordata,Teleostei,Clupeiformes,Engraulidae,Engraulis,australis,Teleostei,5.2,6.825,Genus,Engraulis,1.625,31.25,1
Bunce,ICES Journal of Marine Science,2001,Bunce | ICES Journal of Marine Science | 2001,Hyporhamphus melanochir,Chordata,Teleostei,Beloniformes,Hemiramphidae,Hyporhamphus,melanochir,Teleostei,5.7,5.83,Genus,Hyporhamphus,0.13,2.2807017544,1
Bunce,ICES Journal of Marine Science,2001,Bunce | ICES Journal of Marine Science | 2001,Thyrsites atun,Chordata,Teleostei,Perciformes,Gempylidae,Thyrsites,atun,Teleostei,7.1,5.62,Broad group,Teleostei,1.48,20.8450704225,1
Butler and Pearcy,Journal of the Fisheries Research Board of Canada,1972,Butler and Pearcy | Journal of the Fisheries Research Board of Canada | 1972,Diaphus theta,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,theta,Teleostei,10.5,7.0,Family,Myctophidae,3.5,33.3333333333,1
Butler and Pearcy,Journal of the Fisheries Research Board of Canada,1972,Butler and Pearcy | Journal of the Fisheries Research Board of Canada | 1972,Nannobrachium ritteri,Chordata,Teleostei,Myctophiformes,Myctophidae,Nannobrachium,ritteri,Teleostei,9.29,7.0,Family,Myctophidae,2.29,24.6501614639,1
Butler and Pearcy,Journal of the Fisheries Research Board of Canada,1972,Butler and Pearcy | Journal of the Fisheries Research Board of Canada | 1972,Stenobrachius leucopsarus,Chordata,Teleostei,Myctophiformes,Myctophidae,Stenobrachius,leucopsarus,Teleostei,9.67,7.0,Family,Myctophidae,2.67,27.6111685626,1
Callahan,Thesis--University of Alaska Fairbanks,2020,Callahan | Thesis--University of Alaska Fairbanks | 2020,Anoplopoma fimbria,Chordata,Teleostei,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,Teleostei,3.6,5.62,Broad group,Teleostei,2.02,56.1111111111,1
Callahan,Thesis--University of Alaska Fairbanks,2020,Callahan | Thesis--University of Alaska Fairbanks | 2020,Cymatogaster aggregata,Chordata,Teleostei,Perciformes,Embiotocidae,Cymatogaster,aggregata,Teleostei,5.3,5.62,Broad group,Teleostei,0.32,6.0377358491,1
Callahan,Thesis--University of Alaska Fairbanks,2020,Callahan | Thesis--University of Alaska Fairbanks | 2020,Hexagrammos decagrammus,Chordata,Teleostei,Scorpaeniformes,Hexagrammidae,Hexagrammos,decagrammus,Teleostei,3.4,4.0,Family,Hexagrammidae,0.6,17.6470588235,1
Callahan,Thesis--University of Alaska Fairbanks,2020,Callahan | Thesis--University of Alaska Fairbanks | 2020,Loligo opalescens,Mollusca,Cephalopoda,Teuthida,Loliginidae,Loligo,opalescens,Cephalopoda,4.3,4.7,Genus,Loligo,0.4,9.3023255814,1
